Z	Symbol	M
1	H	1.008
2	He	4.003
3	Li	6.941
4	Be	9.012
5	B	10.812
6	C	12.011
7	N	14.007
8	O	15.999
9	F	18.998
10	Ne	20.18
11	Na	22.99
12	Mg	24.305
13	Al	26.982
14	Si	28.086
15	P	30.974
16	S	32.067
17	Cl	35.453
18	Ar	39.948
19	K	39.098
20	Ca	40.078
21	Sc	44.956
22	Ti	47.867
23	V	50.942
24	Cr	51.996
25	Mn	54.938
26	Fe	55.845
27	Co	58.933
28	Ni	58.693
29	Cu	63.546
30	Zn	65.39
31	Ga	69.723
32	Ge	72.61
33	As	74.922
34	Se	78.96
35	Br	79.904
36	Kr	83.8
37	Rb	85.468
38	Sr	87.62
39	Y	88.906
40	Zr	91.224
41	Nb	92.906
42	Mo	95.94
43	Tc	98
44	Ru	101.07
45	Rh	102.906
46	Pd	106.42
47	Ag	107.868
48	Cd	112.412
49	In	114.818
50	Sn	118.711
51	Sb	121.76
52	Te	127.6
53	I	126.904
54	Xe	131.29
55	Cs	132.905
56	Ba	137.328
57	La	138.906
58	Ce	140.116
59	Pr	140.908
60	Nd	144.24
61	Pm	145
62	Sm	150.36
63	Eu	151.964
64	Gd	157.25
65	Tb	158.925
66	Dy	162.5
67	Ho	164.93
68	Er	167.26
69	Tm	168.934
70	Yb	173.04
71	Lu	174.967
72	Hf	178.49
73	Ta	180.948
74	W	183.84
75	Re	186.207
76	Os	190.23
77	Ir	192.217
78	Pt	195.078
79	Au	196.967
80	Hg	200.59
81	Tl	204.383
82	Pb	207.2
83	Bi	208.98
84	Po	209
85	At	210
86	Rn	222
87	Fr	223
88	Ra	226
89	Ac	227
90	Th	232.038
91	Pa	231.036
92	U	238.029
93	Np	237
94	Pu	244
95	Am	243
96	Cm	247
97	Bk	247
98	Cf	251
99	Es	252
100	Fm	257
101	Md	258
102	No	259
103	Lr	262
104	Rf	267
105	Db	268
106	Sg	269
107	Bh	270
108	Hs	269
109	Mt	278
110	Ds	281
111	Rg	281
112	Cn	285
113	Nh	284
114	Fl	289
115	Mc	288
116	Lv	293
117	Ts	292
118	Og	294
